latitude,longitude,mag
-22.00,-139.00,5.00
-21.83,-139.01,150.00
-22.26,-138.79,150.00
-21.94,-138.99,150.00
-22.00,-139.00,5.00
-21.88,-138.96,150.00
-21.85,-138.84,0.00
-22.25,-138.74,0.00
-21.89,-138.98,0.00
-21.88,-139.03,0.00
-21.88,-138.97,0.00
-22.24,-138.82,0.00
27.10,71.75,12.00
27.08,71.72,0.00
27.08,71.72,0.60
28.83,64.95,0.00
28.49,63.73,0.00
-20.00,115.00,25.00
-28.00,135.00,10.00
-28.00,135.00,8.00
-20.00,115.00,15.00
-20.00,115.00,60.00
-30.00,132.00,15.00
-30.00,132.00,1.50
-30.00,132.00,3.00
-30.00,132.00,10.00
1.67,-157.25,0.00
1.67,-157.25,0.00
1.67,-157.25,0.00
-30.00,132.00,1.00
-30.00,132.00,6.00
-30.00,132.00,25.00
1.67,-157.25,"1,800.00"
1.67,-157.25,"3,000.00"
1.67,-157.25,24.00
1.67,-157.25,"1,000.00"
1.67,-157.25,800.00
1.67,-157.25,25.00
37.04,-116.03,9.50
37.05,-116.03,20.00
37.02,-116.03,20.00
37.00,-116.00,0.00
37.08,-116.02,200.00
37.12,-116.08,200.00
37.13,-116.08,150.00
37.23,-116.37,150.00
37.13,-116.08,150.00
37.12,-116.07,150.00
37.25,-116.42,150.00
37.07,-116.00,20.00
37.32,-116.31,150.00
37.11,-116.05,150.00
37.26,-116.42,150.00
37.11,-116.02,20.00
37.11,-116.02,150.00
37.27,-116.50,150.00
37.05,-116.05,150.00
37.26,-116.50,150.00
37.10,-116.02,150.00
37.23,-116.41,150.00
37.23,-116.37,150.00
37.10,-116.07,20.00
-46.36,37.57,0.00
33.68,-106.47,21.00
34.22,132.25,15.00
32.48,129.53,21.00
11.00,165.00,21.00
11.58,165.50,21.00
11.00,162.00,37.00
11.00,162.00,49.00
11.00,162.00,18.00
36.80,-115.95,1.00
36.80,-115.95,8.00
36.80,-115.95,1.00
36.80,-115.95,8.00
36.80,-115.95,22.00
11.56,162.35,81.00
11.67,162.24,47.00
11.63,162.31,225.00
11.67,162.25,45.50
37.08,-116.02,0.10
37.09,-116.02,3.50
37.09,-116.02,14.00
37.08,-116.02,21.00
37.09,-116.02,31.00
37.13,-116.04,1.20
37.17,-116.04,1.20
36.80,-115.94,1.00
37.08,-116.02,1.00
37.08,-116.02,31.00
37.08,-116.02,19.00
37.05,-116.11,12.00
37.10,-116.11,11.00
37.05,-116.02,15.00
37.14,-116.12,14.00
11.24,162.20,"10,400.00"
11.56,162.35,500.00
37.05,-116.02,16.00
37.10,-116.10,24.00
37.08,-116.02,0.20
37.08,-116.02,11.00
37.10,-116.09,0.20
37.14,-116.12,23.00
37.05,-116.10,43.00
36.50,-115.93,27.00
37.04,-116.03,32.00
36.79,-115.91,15.00
37.09,-116.02,61.00
11.69,165.27,"15,000.00"
11.69,165.27,"11,000.00"
11.50,165.37,110.00
11.67,165.39,"6,900.00"
11.67,165.39,"13,500.00"
11.67,162.20,"1,690.00"
37.09,-116.02,1.00
37.05,-116.02,2.00
37.13,-116.05,7.00
37.14,-116.12,43.00
37.04,-116.03,4.00
37.09,-116.02,8.00
37.17,-116.04,1.00
37.10,-116.10,14.00
37.09,-116.06,3.00
37.03,-116.06,3.00
37.12,-116.03,2.00
36.80,-115.93,22.00
36.05,-116.10,29.00
28.73,-126.27,30.00
37.09,-116.02,28.00
37.00,-116.00,0.00
37.00,-116.00,0.00
37.00,-116.00,0.00
37.00,-116.00,20.00
11.56,162.36,40.00
11.67,165.39,"3,800.00"
11.00,162.00,0.19
11.50,165.37,"3,500.00"
11.54,162.36,14.90
11.68,162.22,13.70
11.60,165.45,365.00
11.55,162.36,8.00
11.00,162.00,1.49
11.55,162.36,1.70
11.00,162.00,15.20
11.60,165.45,"1,100.00"
11.00,162.00,360.00
11.67,162.20,"1,850.00"
11.66,165.39,"4,500.00"
11.67,165.34,"5,000.00"
11.67,162.37,250.00
37.00,-115.00,0.00
37.09,-116.02,12.00
37.05,-116.02,0.14
37.13,-116.04,0.00
37.13,-116.04,10.00
37.80,-115.93,37.00
37.00,-116.00,0.00
37.13,-116.04,74.00
37.15,-116.11,17.00
37.16,-116.05,2.00
37.08,-116.10,10.00
37.13,-116.04,9.70
37.05,-116.03,20.00
37.09,-116.02,19.00
37.19,-116.03,0.00
37.13,-116.11,17.00
37.09,-116.02,11.00
37.05,-116.03,20.00
37.09,-116.02,4.70
37.19,-116.07,44.00
37.05,-116.10,11.00
37.13,-116.04,0.20
37.00,-116.00,0.30
37.09,-116.02,1.00
37.03,-116.03,11.00
37.09,-116.02,12.00
37.20,-116.20,1.70
37.14,-116.12,19.00
37.13,-116.04,12.00
37.13,-116.04,8.00
37.05,-116.03,20.00
37.00,-116.00,0.50
37.00,-116.00,0.00
37.00,-116.00,0.00
12.62,168.03,1.70
11.56,162.35,18.00
11.69,165.27,"1,360.00"
11.54,162.35,81.00
11.68,162.21,"1,370.00"
11.34,162.18,9.00
11.54,162.36,5.90
11.50,165.37,25.10
11.66,162.23,330.00
11.54,162.35,57.00
11.66,162.23,11.60
11.69,165.27,92.00
11.54,162.35,15.00
11.38,162.22,8.00
11.69,165.42,213.00
11.69,165.27,319.00
11.66,162.23,"1,450.00"
11.54,162.36,11.00
11.69,165.42,412.00
11.66,162.23,880.00
11.61,162.11,"8,900.00"
11.50,162.37,14.00
11.54,162.36,5.20
11.69,165.27,220.00
11.66,162.23,397.00
11.69,165.26,"9,300.00"
11.00,162.00,0.00
11.00,162.00,255.00
11.50,165.37,65.00
11.66,162.23,202.00
11.66,162.22,"2,000.00"
16.74,-169.53,"3,800.00"
11.00,162.00,0.00
16.36,-169.54,"3,800.00"
11.00,162.00,0.02
-38.50,-11.50,2.00
-49.50,-8.20,2.00
-48.50,-9.70,2.00
37.05,-116.03,0.04
37.05,-116.03,0.02
37.09,-116.02,0.08
37.05,-116.03,0.00
37.00,-116.00,20.00
37.05,-116.03,0.00
37.19,-116.20,0.01
37.09,-116.02,2.00
37.09,-116.02,0.08
37.05,-116.03,0.01
37.20,-116.20,0.07
37.09,-116.02,0.08
37.09,-116.02,1.40
37.19,-116.20,0.12
36.80,-115.93,0.00
37.18,-116.20,5.00
37.09,-116.02,0.04
37.12,-116.03,0.02
37.04,-116.03,0.09
37.04,-116.03,0.00
37.00,-116.00,0.00
37.09,-116.02,6.00
36.80,-115.93,0.12
37.13,-116.04,0.19
37.04,-116.03,0.02
37.12,-116.04,0.00
37.18,-116.07,0.00
36.80,-115.93,4.90
37.09,-116.02,2.20
37.00,-116.00,0.00
37.00,-116.00,0.00
37.19,-116.20,0.06
37.05,-116.02,0.01
37.00,-116.00,0.00
37.09,-116.02,1.30
37.19,-116.20,22.00
37.18,-116.07,0.00
37.19,-116.21,2.60
37.05,-116.03,20.00
37.05,-116.03,20.00
37.19,-116.21,20.00
37.05,-116.03,20.00
37.05,-116.03,13.40
32.26,-103.87,3.00
37.13,-116.05,0.50
37.04,-116.03,20.00
37.19,-116.21,0.15
37.04,-116.04,5.10
37.05,-116.03,6.40
37.05,-116.04,20.00
37.13,-116.05,3.07
37.04,-116.04,7.10
37.23,-116.06,5.70
37.05,-116.03,1.90
37.13,-116.04,20.00
37.13,-116.05,11.90
37.05,-116.03,20.00
37.11,-116.36,0.43
37.05,-116.03,20.00
37.12,-116.05,8.40
37.04,-116.03,20.00
37.12,-116.03,3.40
37.05,-116.04,20.00
37.04,-116.02,10.60
37.12,-116.04,20.00
37.13,-116.04,20.00
37.22,-116.16,1.85
37.12,-116.03,20.00
2.00,-157.00,190.00
2.00,-157.00,410.00
37.12,-116.04,20.00
2.00,-157.00,"1,090.00"
2.00,-157.00,670.00
4.83,-149.42,0.00
37.05,-116.03,20.00
2.00,-157.00,100.00
2.00,-157.00,100.00
37.13,-116.05,20.00
2.00,-157.00,50.00
31.25,-124.21,20.00
2.00,-157.00,500.00
37.07,-116.03,40.00
2.00,-157.00,97.00
2.00,-157.00,73.00
37.12,-116.05,4.50
2.00,-157.00,2.60
37.12,-116.05,20.00
