time,latitude,longitude,depth,mag,country
6/29/1979 6:56:00 PM,-21.818,-138.903,10,150,France
7/25/1979 5:57:00 PM,-21.88,-138.94,10,150,France
7/28/1979 7:56:00 PM,-21.809,-138.812,10,5,France
11/19/1979 5:53:00 PM,-22,-139,10,5,France
11/22/1979 7:14:13 PM,-22,-139,10,5,France
2/23/1980 6:03:00 PM,-22,-139,10,5,France
03/03/1980 17:56:00,-22,-139,10,5,France
3/23/1980 7:37:00 PM,-21.861,-138.939,10,150,France
04/01/1980 19:31:00,-21.845,-138.758,10,20,France
04/04/1980 18:33:00,-21.921,-138.799,10,20,France
6/16/1980 6:27:00 PM,-21.87,-138.899,10,150,France
6/21/1980 5:01:00 PM,-22,-139,10,20,France
07/06/1980 17:27:01,-21.849,-138.848,10,20,France
7/19/1980 11:47:00 PM,-21.861,-138.934,10,150,France
11/25/1980 5:53:00 PM,-22,-139,10,5,France
12/03/1980 17:33:00,-21.875,-138.939,10,150,France
2/27/1981 11:28:00 PM,-22,-139,10,5,France
03/06/1981 17:27:00,-22,-139,10,5,France
3/28/1981 5:23:01 PM,-21.79,-138.678,10,20,France
04/10/1981 17:57:01,-21.795,-138.946,10,20,France
07/08/1981 22:23:00,-21.791,-139.046,10,20,France
07/11/1981 17:17:00,-22,-139,10,5,France
7/18/1981 5:43:00 PM,-22,-139,10,5,France
08/03/1981 18:33:00,-21.824,-138.903,10,150,France
11/06/1981 17:03:00,-22,-139,10,5,France
11/11/1981 17:07:00,-21.856,-138.954,10,20,France
12/05/1981 16:58:01,-21.685,-138.933,10,20,France
12/08/1981 16:47:00,-21.797,-138.927,10,20,France
2/20/1982 5:33:00 PM,-22,-139,10,5,France
2/24/1982 6:15:00 PM,-22,-139,10,5,France
3/20/1982 5:03:00 PM,-21.846,-138.868,10,20,France
3/23/1982 5:07:00 PM,-22,-139,10,5,France
6/27/1982 5:00:00 PM,-22,-139,10,5,France
07/01/1982 17:02:00,-21.769,-138.946,10,150,France
7/21/1982 5:13:00 PM,-22,-139,10,5,France
7/25/1982 6:02:00 PM,-21.836,-138.896,10,150,France
11/27/1982 5:02:00 PM,-22,-139,10,5,France
4/19/1983 6:53:00 PM,-21.819,-138.872,10,150,France
4/25/1983 5:32:59 PM,-22,-139,10,5,France
5/25/1983 5:31:00 PM,-21.861,-138.917,10,150,France
6/18/1983 5:31:00 PM,-22,-139,10,5,France
6/28/1983 5:46:00 PM,-21.767,-138.871,10,20,France
7/20/1983 8:30:00 PM,-22,-139,10,20,France
08/04/1983 17:14:00,-21.835,-138.829,10,150,France
12/03/1983 16:58:00,-22,-139,10,5,France
12/07/1983 17:28:00,-21.829,-138.928,10,20,France
05/08/1984 17:26:00,-22,-139,10,5,France
05/12/1984 17:31:00,-21.863,-138.901,10,150,France
06/12/1984 17:16:00,-22,-139,10,20,France
6/16/1984 5:44:00 PM,-21.849,-138.88,10,150,France
10/27/1984 5:16:00 PM,-22.064,-138.477,10,20,France
11/02/1984 20:45:00,-21.857,-138.92,10,150,France
12/01/1984 16:51:00,-22,-139,10,5,France
12/06/1984 17:29:00,-21.837,-138.89,10,150,France
4/30/1985 5:29:01 PM,-21.829,-138.952,10,20,France
05/08/1985 20:28:00,-21.831,-138.981,10,150,France
06/03/1985 17:30:01,-21.816,-138.897,10,20,France
06/07/1985 17:40:00,-22,-139,10,20,France
10/24/1985 5:50:00 PM,-22,-139,10,5,France
10/26/1985 4:35:00 PM,-21.849,-138.815,10,150,France
11/24/1985 4:01:01 PM,-21.802,-138.781,10,20,France
11/26/1985 5:42:00 PM,-21.856,-138.899,10,150,France
4/26/1986 5:02:01 PM,-21.725,-138.941,10,20,France
05/06/1986 16:58:00,-22,-139,10,5,France
5/27/1986 5:15:00 PM,-22,-139,10,20,France
5/30/1986 5:25:00 PM,-21.862,-138.949,10,150,France
11/10/1986 16:58:00,-22,-139,10,5,France
11/12/1986 17:02:00,-21.843,-138.927,10,20,France
12/06/1986 17:10:00,-22,-139,10,5,France
12/10/1986 17:15:00,-21.833,-138.892,10,150,France
05/05/1987 16:58:01,-21.705,-138.581,10,20,France
5/20/1987 5:05:00 PM,-21.85,-138.913,10,150,France
06/06/1987 18:00:01,-21.769,-138.874,10,20,France
6/21/1987 5:55:00 PM,-21.865,-138.891,10,150,France
10/23/1987 4:50:00 PM,-21.845,-138.907,10,150,France
11/05/1987 17:30:00,-21.791,-138.874,10,20,France
11/19/1987 4:31:00 PM,-21.845,-138.941,10,150,France
11/29/1987 5:59:00 PM,-22,-139,10,20,France
05/11/1988 17:00:00,-21.833,-138.945,10,150,France
5/25/1988 5:01:00 PM,-21.845,-138.961,10,150,France
6/16/1988 5:15:00 PM,-21.75,-139,10,5,France
6/23/1988 5:31:00 PM,-21.846,-138.911,10,20,France
10/25/1988 5:00:00 PM,-22,-139,10,5,France
11/05/1988 16:30:00,-21.793,-138.987,10,150,France
11/23/1988 5:01:00 PM,-21.835,-138.954,10,150,France
11/30/1988 5:55:00 PM,-22.233,-138.74,10,150,France
05/11/1989 16:45:00,-21.812,-138.884,10,20,France
5/20/1989 5:59:00 PM,-22,-139,10,5,France
06/03/1989 17:30:00,-21.842,-138.922,10,150,France
06/10/1989 17:30:00,-22.217,-138.721,10,150,France
